date,tweet_id,text_preview,impressions,likes,retweets,replies,quotes,bookmarks,url_clicks
2026-05-21,2057391155961012714,"연봉은 매년 올랐는데 통장 잔고는 늘 비슷한 분들이 있습니다.  씀씀이가 헤픈 것도 아닌데",29,1,0,0,0,0,0
2026-05-15,2055129255139492196,"오늘 스승의 날; 지금도 기억나는 선생님이 한 분쯤은 있을 거예요.  자미두수로 보면 내 ",32,1,0,0,0,0,0
2026-05-12,2054049177282191446,"직장 동료 운이 자꾸 어긋난다면; 자미두수 형제궁(兄弟宮)을 봐야 합니다.  이름은 '형제",29,1,0,0,0,0,0
2026-05-11,2053776320975298713,"월요일 아침마다 "이번 주는 달라야지" 하지만; 목요일이나 금요일에 오히려 집중이 잘 되는",28,1,0,0,0,0,0
2026-05-10,2053483640940617734,"내일 출근 생각하면 일요일 밤 9시쯤부터 마음이 무거워지는 분들 계실 거예요.  자미두수에",20,1,0,0,0,0,0
2026-05-07,2052349820287787324,"퇴근하고 소파에 드러눕고 싶은 분과; 뭔가를 해야 오히려 충전이 되는 분이 있습니다.  자",24,1,0,0,0,0,0
2026-05-04,2051240375927377938,""또 바꿔?"라는 말을 자주 들으신다면; 의지력 문제가 아닐 수 있습니다.  자미두수에서 ",40,1,0,0,0,0,0
2026-05-04,2051199325888278696,"자미두수에는 '대한(大限)'이라는 개념이 있습니다. 인생을 약 10년씩 끊어서; 그 시기마",38,1,0,0,0,0,0
2026-05-02,2050549672436277557,"머리가 잘 돌아가서 오히려 피곤한 분들 있어요.  자미두수 천기성(天機星)은 '생각하는 별",36,1,0,0,0,0,0
2026-04-20,2046064715697369550,"봄이 오면 새 취미; 새 프로젝트; 뭔가 만들고 싶은 충동이 올라오는 분들이 있습니다. "",75,1,0,0,0,0,0
2026-04-19,2045977415508525155,"사자자리: 午火와 공명. 표현력·리더십이 빛나는 날. 앞에 나서세요. 처녀자리: 甲木 분석",107,1,0,0,0,0,0
2026-04-19,2045977374227902903,"[오늘의 운세] 4/20 월요일 (甲午日·기사월)  午年·午日·巳月 — 火 에너지 정점. ",116,1,0,0,0,0,0
2026-04-19,2045703871431840209,"황금연휴가 딱 2주 앞으로 다가왔어요.  이맘때쯤 되면 이사 계획 세우거나; 집 정리하고 ",46,1,0,0,0,0,0
2026-04-18,2045431338921279737,"잘 맞는다고 느꼈는데 몇 년 지나면 갑자기 달라 보이는 경우; 자미두수에서는 '초기 끌림'",41,1,0,0,0,0,0
2026-04-17,2045114939795267987,"금요일 밤; 혼자 있는 게 편한 분과 누군가 옆에 있어야 충전이 되는 분이 있습니다.  자",54,1,0,0,0,0,0
2026-04-17,2045068527766278479,"금요일 저녁; 친구에게서 "이번 주말 시간 있어?"라는 연락이 옵니다.  반사적으로 반기는",103,1,0,0,0,0,0
2026-04-17,2044932585097236844,"이번 주말; 문을 열고 나가야 하는 사람들이 있습니다.  자미두수 천이궁(이동궁)은 이동과",67,1,0,0,0,0,0
2026-04-16,2044705034508915014,"저축은 꼬박꼬박 쌓이는데; 주식이나 부동산에 손 대면 꼭 타이밍이 어긋나는 분들이 있어요.",26,1,0,0,0,0,0
2026-04-16,2044615518447964401,"봄이 되면 유독 지치거나; 반대로 에너지가 넘쳐서 주체가 안 되는 사람이 있습니다.  자미",56,1,0,0,0,0,0
2026-04-15,2044390057209905414,"밤에 혼자 있을 때 유독 선명해지는 질문이 있습니다. '나는 뭘 위해 살고 있는 걸까.' ",26,1,0,0,0,0,0
